id,type,name
4515,label,Sony BMG Music Entertainment Korea Inc.
4514,label,"KT Music Co., Ltd."
4513,label,SBSi
4512,label,DigitalRecord
4511,label,Music Cube
4510,label,Brave Entertainment
4509,label,YBM Seoul Records
4508,label,SBS Contents Hub
4507,label,애반레코드
4506,label,Fantagio
4505,label,산타뮤직
4504,label,BH 엔터테인먼트
4503,label,팬텀 엔터테인먼트 그룹
4502,label,Yedang Entertainment
4501,label,Pledis
4500,label,케이엠스타엔터테인먼트
4499,label,kt music
4498,label,A&G Modes
4497,label,Yejeon Media
4496,label,MMO Entertainment
4495,label,엠지비 엔터테인먼트
4494,label,필라멘트 픽쳐스
4493,label,Samsung Entertainment Group
4492,label,Pledis Entertainment
4491,label,브랜드 뉴 프로덕션
4490,label,스타페이지 엔터테인먼트
4489,label,FNC MUSIC
4488,label,HOOK ENTERTAINMENT
4487,label,WA Entertainment
4486,label,Stam
4485,label,Stone Age Records
4484,label,리플레이뮤직
4483,label,가라사대
4482,label,맵더소울
4481,label,LEESSANG COMPANY
4480,label,소울 커넥션
4479,label,Map the Soul Inc.
4478,label,케이엠 컬쳐
4477,label,Neowiz Games
4476,label,STAR PAGE Entertainment
4475,label,Soul Company
4474,label,트리니티 엔터테인먼트
4473,label,쇼타임엔터테인먼트
4472,label,퓨처 플로우
4471,label,Foundation Records
4470,label,"BT&I Travel Group, Inc."
4469,label,Sniper Sound
4468,label,케이사운드 엔터테인먼트
4467,label,바른손
4466,group,The Melody
4465,person,Arkitec
4464,group,クレンチ&ブリスタ
4463,person,Blistah
4462,person,Clench
4461,person,GOICHI
4460,person,COYASS
4459,person,K.O.S.
4458,person,Shogun
4457,person,Flowz
4456,group,Groove Assassins & DJ Raw
4455,person,DJ Raw
4454,male,Nick Gaffaney
4453,person,David Wright
4452,group,Opensouls
4451,group,Otautahi Allstars
4450,person,Isaac Aesili
4449,person,Nat Rose
4448,group,Steady&Co.
4447,male,Tetsuya Sato
4446,group,Atom on Sphere
4445,person,Makoto Sakurai
4444,person,Ikuzo Baba
4443,group,Dragon Ash
4442,male,Jung Chan Woo
4441,male,Gen Date
4440,male,Hironori Sawano
4439,male,Smokey Tetsuni
4438,female,Aiko Sugawara
4437,male,Keiichi Hiroishi
4436,male,Shinya Horaguchi
4435,male,Keiichi Nakanishi
4434,male,Toraji Shingū 
4433,group,Crazy Ken Band
4432,person,Rick Standley
4431,person,Brian Schiele
4430,person,Robert McFall
4429,person,Juvie Train
4428,person,Gan-D
4427,male,Eun Tae-soo
4426,male,Kang Seong-kyu 
4425,male,Ko Myeong-won
4424,male,Moon Chang-hwan
4423,male,Jang Seong-kyu
4422,male,Yoo Won-bin
4421,female,Kim Na-jeong
4420,female,Jeon Cho-rong
4419,female,Jang Ha-yeon
4418,female,Kim Hyeon-myeong
4417,female,Lim Da-hyeon
4416,female,Kim Na-rae
4415,female,Park Seo-hee
4414,person,Kusano Yuka
4413,male,Lee Jong-seong
4412,male,Lee Sang-yong
4411,male,Kim Ki-hyun
4410,male,Kim Min-seok
4409,male,Kwon Su-hyeon
4408,male,Cho Se-hee
4407,male,Kang Min-hoon
4406,male,Ye Eun-su
4405,group,Moca
4404,group,Latin Rascals
4403,group,New Vision
4402,male,Albert Cabrera
4401,group,Supreme Ramos and the Sunset Regime
4400,group,Ramos & Sunset Regime
4399,male,Rick Harris
4398,male,Sang Woo
4397,male,Yu Jin
4396,male,Soul J
4395,male,Jung Kyun
4394,male,Seung-Hyun
4393,male,Kim Min Sung
4392,male,Kim Chan Min
4391,male,Yoo Seok-Ho
4390,male,Woo Il
4389,male,Noah
4388,male,Marine
4387,male,Tae Kyung
4386,male,Hwang Seong Hwan
4385,male,Cho Hyeon Sang
4384,male,Len
4383,male,Hyun Lee
4382,male,Oh Byung-Jin
4381,male,Son Il-Kwon
4380,female,Akiko Wada
4379,male,Jack the Knife
4378,male,Roy 
4377,male,Eddie Tarantula
4376,male,Tiger 
4375,female,Velvet Geena
4374,male,Kim Young-Woo
4373,male,Song Woo-Jin
4372,male,Ho-jin In
4371,male,Lee Ki-wook
4370,male,Yoo-Joon-seong
4369,male,BUGSY
4368,male,Yoshikuni Dōchin
4367,group,CHEMISTRY×Crystal Kay
4366,group,Crystal Kay×CHEMISTRY
4365,group,CHEMISTRY
4364,female,TRINITY
4363,female,Miso
4362,female,Dahee
4361,female,ZINNI
4360,female,Park Jiyeon
4359,male,Kim Sung-su
4358,person,Zebedee
